Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(0:0),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(0),11,21,0,13,19,0,12,20,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(1:1),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(1),11,21,0,16,16,0,8,24,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(2:2),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(2),11,21,0,21,11,0,3,29,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(3:3),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(3),11,21,0,22,10,0,5,26,1
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(4:4),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(4),11,21,0,23,9,0,6,26,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(5:5),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(5),11,21,0,28,4,0,4,28,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(6:6),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(6),11,21,0,25,7,0,6,25,1
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(7:7),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(7),11,21,0,28,4,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(8:8),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(8),11,21,0,29,3,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(9:9),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(9),11,21,0,28,4,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(10:10),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(10),11,21,0,29,3,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(11:11),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(11),11,21,0,30,2,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(12:12),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(12),11,21,0,29,3,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(13:13),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(13),11,21,0,26,6,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(14:14),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(14),11,21,0,27,5,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(15:15),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(15),11,21,0,27,5,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(16:16),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(16),11,21,0,20,12,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(17:17),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(17),11,21,0,20,12,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(18:18),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(18),11,21,0,16,16,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(19:19),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat(19),11,21,0,17,15,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(11:7),128,farhan_logs/Log_284_Coeff_Batching_Qwen1.5-1.8B-Chat//log_284_Qwen1.5-1.8B-Chat,46,54,0,91,9,0,5,95,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(0:0),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(0),19,13,0,20,12,0,20,12,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(1:1),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(1),19,13,0,22,10,0,18,14,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(2:2),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(2),19,13,0,22,10,0,16,16,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(3:3),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(3),19,13,0,23,9,0,12,20,0
Qwen/Qwen1.5-7B-Chat,7B-Chat,(4:4),128,farhan_logs/Log_285_Coeff_Batching_Qwen1.5-7B-Chat//log_285_Qwen1.5-7B-Chat(4),19,13,0,23,9,0,9,23,0
