Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(0:0),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(0),2,30,0,2,30,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(1:1),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(1),2,30,0,4,28,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(2:2),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(2),2,30,0,1,31,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(3:3),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(3),2,30,0,4,28,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(4:4),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(4),2,30,0,1,31,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(5:5),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(5),2,30,0,0,32,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(6:6),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(6),2,30,0,3,29,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(7:7),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(7),2,30,0,0,32,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(8:8),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(8),2,30,0,0,32,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(9:9),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(9),2,30,0,0,32,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(10:10),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(10),2,30,0,1,31,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(11:11),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(11),2,30,0,0,32,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(12:12),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(12),2,30,0,2,30,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(13:13),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(13),2,30,0,0,32,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(14:14),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(14),2,30,0,1,31,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(15:15),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(15),2,30,0,0,32,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(16:16),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(16),2,30,0,2,30,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(17:17),128,farhan_logs/Log_300_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_300_Qwen1.5-1.8B-Chat(17),2,30,0,0,32,0,1,31,0
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(0:0),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(0),3,29,0,2,30,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(1:1),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(1),3,29,0,3,29,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(2:2),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(2),3,29,0,2,30,0,3,29,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(3:3),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(3),3,29,0,0,32,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(4:4),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(4),3,29,0,1,31,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(5:5),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(5),3,29,0,0,32,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(6:6),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(6),3,29,0,1,31,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(7:7),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(7),3,29,0,0,32,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(8:8),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(8),3,29,0,0,32,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(9:9),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(9),3,29,0,3,29,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(10:10),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(10),3,29,0,2,30,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(11:11),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(11),3,29,0,1,31,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(12:12),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(12),3,29,0,1,31,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(13:13),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(13),3,29,0,1,31,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(14:14),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(14),3,29,0,1,31,0,0,32,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(15:15),128,farhan_logs/Log_301_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_301_Qwen1.5-1.8B-Chat(15),3,29,0,1,31,0,1,31,0
Model name,Model Size,Coeff,File Path,Max Tokens,Init->Opin,Init->Neut,Init->Nons,Opin->Opin,Opin->Neut,Opin->Nons,Neut->Opin,Neut->Neut,Neut->Nons
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(0:0),128,farhan_logs/Log_302_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_302_Qwen1.5-1.8B-Chat(0),2,30,0,2,30,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(1:1),128,farhan_logs/Log_302_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_302_Qwen1.5-1.8B-Chat(1),2,30,0,4,28,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(2:2),128,farhan_logs/Log_302_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_302_Qwen1.5-1.8B-Chat(2),2,30,0,0,32,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(3:3),128,farhan_logs/Log_302_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_302_Qwen1.5-1.8B-Chat(3),2,30,0,0,32,0,1,31,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(4:4),128,farhan_logs/Log_302_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_302_Qwen1.5-1.8B-Chat(4),2,30,0,2,30,0,2,30,0
Qwen/Qwen1.5-1.8B-Chat,1_8B-Chat,(5:5),128,farhan_logs/Log_302_Combined_Coeffs_Qwen1.5-1.8B-Chat//log_302_Qwen1.5-1.8B-Chat(5),2,30,0,3,29,0,1,31,0
